@W: CD134 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_ctrl.vhd":136:26:136:34|No such identifier, enb_start, of proper type in current declarative region
@W: CD134 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\rx_com\dec6b_5b.vhd":38:26:38:32|No such identifier, dataout, of proper type in current declarative region
@W: CD134 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\slv_ctrl\slv_rx_ctrl.vhd":94:26:94:29|No such identifier, node, of proper type in current declarative region
@W: CL111 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_rgstr.vhd":327:8:327:9|All reachable assignments to LIMIT_IN_A(0) are '0'; removing register. To preserve a constant register, use the syn_preserve attribute.
@W: CL111 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_rgstr.vhd":327:8:327:9|All reachable assignments to LIMIT_IN_A(3) are '0'; removing register. To preserve a constant register, use the syn_preserve attribute.
@W: CL111 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_rgstr.vhd":327:8:327:9|All reachable assignments to LIMIT_IN_A(4) are '0'; removing register. To preserve a constant register, use the syn_preserve attribute.
@W: CL111 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_rgstr.vhd":327:8:327:9|All reachable assignments to LIMIT_IN_A(5) are '0'; removing register. To preserve a constant register, use the syn_preserve attribute.
@W: CL111 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_rgstr.vhd":327:8:327:9|All reachable assignments to LIMIT_IN_A(6) are '0'; removing register. To preserve a constant register, use the syn_preserve attribute.
@W: CL111 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_rgstr.vhd":327:8:327:9|All reachable assignments to LIMIT_IN_A(7) are '0'; removing register. To preserve a constant register, use the syn_preserve attribute.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Optimizing register bit s_LEDPTN(5) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Optimizing register bit s_LEDPTN(6) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
